Rep,Treatment,Strip,TOTAL ACRES,ACTUAL YIELD (bu/ac or lb),ACTUAL YIELD PERCENT MOISTURE (%),YIELD @ 15.5% MOISTURE (bu/ac)
1,Typical,1,0.9,,16.28,104
1,Reduced,2,0.9,,16.67,88.6
2,Typical,3,0.9,,16.36,127.2
2,Reduced,4,0.9,,16.5,96.4
3,Typical,5,0.9,,16.16,123.1
3,Reduced,6,0.9,,16.73,109.7
4,Typical,7,0.9,,16.42,117.4
4,Reduced,8,0.9,,16.88,96.2
