STRIP,REP,TREATMENT (Typical/Reduced),TOTAL N-RATE (units/ac),TOTAL ACRES,ACTUAL YIELD (bu/ac or lb),% MOISTURE
1,1,Typical,126,1.63,18152,16.1
2,1,Reduced,106,1.63,16749,16.1
3,2,Reduced,106,1.63,17525,16.1
4,2,Typical,126,1.63,19839,16.1
5,3,Reduced,106,1.63,17680,16.1
6,3,Typical,126,1.63,20123,16.1
7,4,Typical,126,1.63,21109,16.1
8,4,Reduced,106,1.63,16777,16.1
