STRIP,REP,TREATMENT (Typical/Reduced),TOTAL N-RATE (units/ac),TOTAL ACRES,ACTUAL YIELD ( lb),ACTUAL YIELD PERCENT MOISTURE (%)
1,1,Typical,165,0.16,1342,17
2,1,Reduced,100,0.16,1116,17
3,2,Reduced,100,0.16,1130,17
4,2,Typical,165,0.16,1400,17
5,3,Reduced,100,0.16,1151,17
6,3,Typical,165,0.16,1400,17
7,4,Typical,165,0.16,1373,17
8,4,Reduced,100,0.16,1083,17
