Rep,Treatment,Strip,yield (bu/ac) @ 15.5%
1,Typical,1,174.2869112
2,Typical,2,171.5474556
1,Reduced,3,170.4827574
2,Reduced,4,170.5026036
3,Typical,5,171.785645
3,Reduced,6,169.7533373
4,Reduced,7,166.7737278
4,Typical,8,171.9799882
