Rep,Treatment,Strip,TOTAL N-RATE (units/ac),TOTAL ACRES,ACTUAL YIELD (bu/ac or lb),ACTUAL YIELD PERCENT MOISTURE (%),YIELD @ 15.5% MOISTURE (bu/ac)
1,Typical,1,180,1.57,223.84,18.1,216.95
1,Reduced,2,130,1.67,222.41,17.9,216.09
2,Typical,3,180,1.67,228.83,18.3,221.25
2,Reduced,4,130,1.66,231.28,18.6,222.8
3,Typical,5,180,1.66,244.62,18.7,235.36
3,Reduced,6,130,1.66,245.91,18.4,237.47
4,Typical,7,180,1.66,250.86,19,240.47
4,Reduced,8,130,1.64,253.92,18.9,243.7
