Rep,Treatment,Strip,TOTAL ACRES,ACTUAL YIELD (bu/ac or lb),ACTUAL YIELD PERCENT MOISTURE (%)
1,reduced,1,0.69,6300,21.2
1,typical,2,0.69,6430,23.5
2,typical,3,0.69,7440,23.5
2,reduced,4,0.69,7100,25
3,typical,5,0.69,8070,27.6
3,reduced,6,0.69,7640,25.6
4,reduced,7,0.69,7680,25.6
4,typical,8,0.69,8320,28.3
