Rep,Treatment,Strip,yield (bu/ac) @ 15.5%
1,Typical,1,104
1,Reduced,2,88.6
2,Typical,3,127.2
2,Reduced,4,96.4
3,Typical,5,123.1
3,Reduced,6,109.7
4,Typical,7,117.4
4,Reduced,8,96.2
