REP,TREATMENT (Typical/Reduced),yield (bu/ac) @ 15.5%
1,typical,149.7134057
1,reduced,150.9466298
2,reduced,142.9011452
2,typical,140.5875473
3,reduced,137.9698308
3,typical,144.7995666
4,typical,147.8178964
4,reduced,147.1113392
